#Ellogon: Document File
# This is an Auto-generated File. Please DO NOT EDIT.
# Ellogon CDM version 1.0 - August 1999 - September 2002
#  This file is used by the "Ellogon" Text Engineering Platform,
#  and contains an "Ellogon" CDM Document specification...
#  File Encoding: utf-8
Encoding::utf-8
FileFormat::5
Translation::crlf
ExternalID::/home/petasis/stasinos/articles/1187.avgi.html.txt
ID::1187.avgi.html.txt
AnnotationMaxID::828
Attributes::22
Intellitech_NERC_QuickDomain {GDM_STRING {}}
Intellitech_NERC_Filter {GDM_STRING {}}
language_greek {GDM_STRING {}}
Intellitech_NERC_TagWithGrammar {GDM_STRING {}}
Gazetteer {GDM_STRING {}}
HTokenizer {GDM_STRING {}}
language {GDM_STRING hellenic}
newspaper {GDM_STRING www.avgi.gr}
Intellitech_NERC_Descriptors {GDM_STRING {}}
CRF_Tag {GDM_STRING {}}
Intellitech_NERC_FlattenOverlappingNEs {GDM_STRING {}}
domain {GDM_STRING telecommunications}
Intellitech_NERC_Dissambiguator {GDM_STRING {}}
Intellitech_NERC_FilterWithContext {GDM_STRING {}}
title {GDM_STRING {Αντιμετωπίζουν το νέφος με συστάσεις για τα τζάκια}}
13 token {{87 91}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
14 token {{92 99}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
15 token {{100 109}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
16 token {{110 111}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
17 token {{112 120}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBPD}}}
18 token {{121 132}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
19 token {{133 136}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
20 token {{137 139}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
21 token {{140 147}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
22 token {{148 153}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
23 token {{153 154}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
24 token {{155 158}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
25 token {{159 165}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
26 token {{166 169}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
27 token {{170 180}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
28 token {{181 184}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
29 token {{185 190}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
30 token {{191 200}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
31 token {{201 204}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
32 token {{205 214}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
33 token {{215 224}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
34 token {{224 225}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
35 token {{226 235}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
36 token {{236 237}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
37 token {{238 243}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
38 token {{244 248}} {{type {GDM_STRING GLW}} {pos {GDM_STRING MD}}}
39 token {{249 259}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
40 token {{260 262}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
41 token {{263 272}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
42 token {{273 283}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
43 token {{284 287}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
44 token {{288 294}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
45 token {{295 300}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
46 token {{301 309}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
47 token {{309 310}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
48 token {{311 313}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
49 token {{314 318}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
50 token {{319 323}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IDT}}}
51 token {{324 328}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
52 token {{329 335}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJM}}}
53 token {{336 343}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
54 token {{343 344}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
55 sentence {{0 344}} {{constituents {GDM_STRING_SET {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54}}}}
56 token {{345 349}} {{type {GDM_STRING GFW}} {pos {GDM_STRING RB}}}
57 token {{349 350}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
58 token {{351 364}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
59 token {{365 368}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
60 token {{369 376}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
61 token {{377 379}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
62 token {{380 384}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
63 token {{385 390}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJF}}}
64 token {{391 400}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJF}}}
65 token {{401 408}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
66 token {{409 412}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
67 token {{413 416}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
68 token {{417 423}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
69 token {{424 430}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
70 token {{431 439}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
71 token {{440 443}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
72 token {{444 446}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
73 token {{447 451}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
74 token {{452 458}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
75 token {{459 462}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
76 token {{463 465}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
77 token {{466 481}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
78 token {{482 484}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
79 token {{485 492}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
80 token {{493 496}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
81 token {{497 502}} {{type {GDM_STRING GUW}} {pos {GDM_STRING NNPM}}}
82 token {{503 507}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
83 token {{508 513}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPF}}}
84 token {{514 517}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
85 token {{518 521}} {{type {GDM_STRING GLW}} {pos {GDM_STRING PP}}}
86 token {{522 526}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
87 token {{527 533}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
88 token {{534 548}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
89 token {{549 553}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
90 token {{554 562}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
91 token {{563 567}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
92 token {{568 572}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
93 token {{573 575}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
94 token {{576 585}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
95 token {{586 595}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
96 token {{596 598}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
97 token {{599 602}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
98 token {{603 605}} {{type {GDM_STRING ELW}} {pos {GDM_STRING FW}}}
99 token {{606 609}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
100 token {{610 616}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJM}}}
101 token {{617 622}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
102 token {{623 627}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
103 token {{628 629}} {{type {GDM_STRING SYMBOL}} {pos {GDM_STRING SYM}}}
104 token {{630 637}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
105 token {{638 647}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
106 token {{648 651}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
107 token {{652 657}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
108 token {{658 667}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
109 token {{668 670}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
110 token {{671 676}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
111 token {{677 689}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
112 token {{690 695}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
113 token {{696 701}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
114 token {{702 705}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
115 token {{706 711}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
116 token {{711 712}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
117 token {{713 718}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
118 token {{719 724}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
119 token {{725 736}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
120 token {{737 744}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
121 token {{745 753}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
122 token {{753 754}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
123 sentence {{345 754}} {{constituents {GDM_STRING_SET {56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122}}}}
124 token {{755 758}} {{type {GDM_STRING GFW}} {pos {GDM_STRING IN}}}
125 token {{759 769}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJM}}}
126 token {{770 771}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
127 token {{772 777}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
128 token {{778 781}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
129 token {{782 784}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
130 token {{785 794}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
131 token {{795 804}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
132 token {{805 806}} {{type {GDM_STRING GUW}} {pos {GDM_STRING DDT}}}
133 token {{807 814}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
134 token {{815 820}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
135 token {{821 825}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
136 token {{826 837}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
137 token {{838 848}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJN}}}
138 token {{849 859}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
139 token {{860 863}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
140 token {{864 867}} {{type {GDM_STRING GUW}} {pos {GDM_STRING AB}}}
141 token {{867 868}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
142 sentence {{755 868}} {{constituents {GDM_STRING_SET {124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141}}}}
143 token {{869 871}} {{type {GDM_STRING GFW}} {pos {GDM_STRING DDT}}}
144 token {{872 879}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
145 token {{880 885}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IP}}}
146 token {{886 888}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
147 token {{889 894}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
148 token {{895 901}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
149 token {{902 907}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
150 token {{908 911}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
151 token {{912 915}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
152 token {{916 925}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CD}}}
153 token {{926 932}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
154 token {{933 936}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
155 token {{937 940}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
156 token {{941 947}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
157 token {{948 955}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
158 token {{956 966}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
159 token {{967 970}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
160 token {{971 973}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
161 token {{974 983}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
162 token {{984 997}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNN}}}
163 token {{997 998}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
164 sentence {{869 998}} {{constituents {GDM_STRING_SET {143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163}}}}
165 token {{999 1000}} {{type {GDM_STRING GUW}} {pos {GDM_STRING DDT}}}
166 token {{1001 1006}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJF}}}
167 token {{1007 1016}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJF}}}
168 token {{1017 1024}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNF}}}
169 token {{1025 1034}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
170 token {{1035 1041}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
171 token {{1042 1047}} {{type {GDM_STRING GLW}} {pos {GDM_STRING INP}}}
172 token {{1047 1048}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING :}}}
173 sentence {{999 1048}} {{constituents {GDM_STRING_SET {165 166 167 168 169 170 171 172}}}}
174 token {{1049 1058}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
175 token {{1059 1063}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
176 token {{1064 1072}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
177 token {{1073 1079}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
178 token {{1080 1089}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
179 token {{1090 1092}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
180 token {{1093 1103}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
181 token {{1104 1107}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
182 token {{1108 1116}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
183 token {{1117 1119}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
184 token {{1120 1131}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSM}}}
185 token {{1132 1138}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
186 token {{1139 1142}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
187 token {{1143 1145}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
188 token {{1146 1154}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
189 token {{1155 1161}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
190 token {{1161 1162}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
191 token {{1163 1168}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
192 token {{1169 1171}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
193 token {{1172 1180}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
194 token {{1181 1183}} {{type {GDM_STRING GLW}} {pos {GDM_STRING PRP}}}
195 token {{1184 1192}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBPD}}}
196 token {{1193 1203}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
197 token {{1203 1204}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
198 token {{1205 1212}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
199 token {{1213 1224}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
200 token {{1225 1238}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSM}}}
201 token {{1239 1246}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
202 token {{1247 1250}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
203 token {{1251 1259}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
204 token {{1259 1260}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
205 token {{1261 1268}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
206 token {{1269 1272}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
207 token {{1273 1280}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
208 token {{1281 1287}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
209 token {{1288 1295}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
210 token {{1295 1296}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
211 token {{1297 1304}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
212 token {{1305 1308}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
213 token {{1309 1319}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
214 token {{1320 1325}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
215 token {{1326 1328}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
216 token {{1329 1336}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
217 token {{1337 1340}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
218 token {{1341 1350}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
219 token {{1351 1361}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
220 token {{1362 1365}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
221 token {{1366 1374}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
222 token {{1375 1378}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
223 token {{1379 1388}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJF}}}
224 token {{1389 1398}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
225 token {{1399 1401}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
226 token {{1402 1408}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
227 token {{1409 1412}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
228 token {{1413 1421}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNN}}}
229 token {{1421 1422}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
230 token {{1423 1425}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
231 token {{1426 1434}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
232 token {{1435 1437}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
233 token {{1438 1448}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
234 token {{1448 1449}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
235 token {{1450 1460}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNM}}}
236 token {{1461 1464}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
237 token {{1465 1474}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
238 token {{1475 1486}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
239 token {{1487 1490}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
240 token {{1491 1503}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
241 token {{1504 1511}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
242 token {{1512 1516}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
243 token {{1517 1520}} {{type {GDM_STRING NUMBER_RANGE}} {pos {GDM_STRING CD}}}
244 token {{1520 1521}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
245 sentence {{1049 1521}} {{constituents {GDM_STRING_SET {174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244}}}}
246 token {{1522 1528}} {{type {GDM_STRING GFW}} {pos {GDM_STRING RB}}}
247 token {{1528 1529}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
248 token {{1530 1540}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
249 token {{1541 1552}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
250 token {{1553 1556}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
251 token {{1557 1572}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
252 token {{1573 1580}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
253 token {{1580 1581}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
254 token {{1582 1589}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
255 token {{1590 1599}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
256 token {{1600 1603}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
257 token {{1604 1607}} {{type {GDM_STRING ABBREV}} {pos {GDM_STRING AB}}}
258 token {{1607 1608}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING .}}}
259 sentence {{1522 1608}} {{constituents {GDM_STRING_SET {246 247 248 249 250 251 252 253 254 255 256 257 258}}}}
260 token {{1609 1611}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
261 token {{1612 1625}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
262 token {{1626 1634}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSF}}}
263 token {{1635 1638}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
264 token {{1639 1641}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
265 token {{1642 1651}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBS}}}
266 token {{1652 1656}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
267 token {{1657 1666}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
268 token {{1666 1667}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
269 token {{1668 1670}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
270 token {{1671 1679}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
271 token {{1680 1683}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
272 token {{1684 1691}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSF}}}
